feature,mutual_information
relationship,0.11793560701845718
marital_status,0.11419697358982628
capital_net,0.10767537444847664
capital_gain,0.07830546280589346
age,0.07009398617171847
education,0.06197009905273876
education_num,0.060135594219989486
occupation,0.059517307164995925
hours_per_week,0.041001674279626865
fnlwgt,0.03458962078327832
capital_loss,0.031781969078938266
sex_ Male,0.02831063138141765
sex_ Female,0.027408550588442937
workclass,0.017642863044442736
race,0.01175005663460893
native_country,0.009626419946475728
age_group,0.004909888892214775
